	time	id	sentiment	topic	like	text
193	Mon Nov 29 23:56:52 +0000 2021	1.46547e+18	+	CV	1	"@mermalermalerm @HijaDe2Madre 😂  I mean that's way more effective though!  I had to move a vaccine appointment because I was offered the covid vaccine 6 days before I was set to get the other vaccine, and they were like ""oh yeah you need to reschedule"" so I assume it's just a Norwegian health care thing."
197	Mon Nov 29 23:54:55 +0000 2021	1.46547e+18	+	CR	15	.@TheJuanWilliams: Biden Is ‘Ripe For Criticism’ On Hypocrisy Over COVID Travel Ban https://t.co/uWQs16Jvv4
208	Mon Nov 29 23:58:11 +0000 2021	1.46547e+18	+	CV	0	Covid Booster is booked!!! https://t.co/RwkRoNwmkh
211	Mon Nov 29 23:56:51 +0000 2021	1.46547e+18	+	CV	15	"Well, got my Covid booster! https://t.co/YgVfplKsD4"
213	Mon Nov 29 23:59:01 +0000 2021	1.46547e+18	+	CV	4	"@POTUS @JoeBiden All we need is #covaxin, its time to have effective and long lasting vaccine and booster right now. #covaxin is knocking our door and we need to speed up to fight the #Omicron #NewVariants ."
215	Mon Nov 29 23:57:13 +0000 2021	1.46547e+18	+	CP	1	"@Kelvin90977380 @CP24 Absolutely I’m masked, Covid, blah blah out!"
218	Mon Nov 29 23:58:48 +0000 2021	1.46547e+18	+	PL	3	"my roommate just got over covid — she’s not sick or contagious anymore, just kinda lost her voice and she doesn’t have her sense of smell — and i keep teasing her about my ability to smell lolllll"
224	Mon Nov 29 23:54:57 +0000 2021	1.46547e+18	+	CV	0	"C'River flags off Covid-19 mass vaccination, Maternal New Born and Child Health Week... Read full story at: https://t.co/IaYSYBwygB"
229	Mon Nov 29 23:54:46 +0000 2021	1.46547e+18	+	CV	7	". All dead following a recent vaccination against COVID.  Some for of CARDIAC ARREST seems to  be the main cause of death.  All of these people are young, previously healthy and active in sports.  Cardiac attack by he vaccine seems highly likely.  Think about it. https://t.co/GItYRW7k9z"
230	Mon Nov 29 23:59:54 +0000 2021	1.46547e+18	+	PL	3	@haiIeearchive @HaileeSteinfeld I know covid's still a thing but I just want her to throw a big ass party in that new house of hers and provide us with lots of pics
240	Mon Nov 29 23:55:23 +0000 2021	1.46547e+18	+	CP	3	"@winny55 Hand washing is great for all sorts of other diseases.  Unfortunately it does next to nothing to prevent Covid transmission.  Covid is airborne. Open windows, improve ventilation, add filtration and masks."
243	Mon Nov 29 23:55:24 +0000 2021	1.46547e+18	+	CV	36	Toronto organizes mass COVID-19 vaccination clinic for children at Scotiabank Arena https://t.co/CW00naXkDV https://t.co/6pKVpf3pyU
253	Mon Nov 29 23:55:04 +0000 2021	1.46547e+18	+	CV	2	@BriannaWu Second Modera kicked my ass.  Third Moderna just a friendly punch in the arm.
255	Mon Nov 29 23:54:31 +0000 2021	1.46547e+18	+	CV	0	Over 6.5m persons received first dose of COVID-19 vaccine in Nigeria ― FG   https://t.co/9IV4aOFjTE
256	Mon Nov 29 23:56:20 +0000 2021	1.46547e+18	+	CP	1	@SequoiaCheyenne @gregminnick_ @RLCoates @GovRonDeSantis Yes I believe in the covid virus. Yes I believe in the vaccine. And yes I believe in the mask. Yes I believe in social distancing and yes I believe in our President Joe Biden. And you do not. End of story.
260	Mon Nov 29 23:59:33 +0000 2021	1.46547e+18	+	CV	0	"@crbarnes001 All my family, and most of my friends have had the third jab, not a problem among them. I have had 2 relations who have died of covid, 1 had no underlying health problems and was 49. A work colleague has long covid. Your point is?"
270	Mon Nov 29 23:57:17 +0000 2021	1.46547e+18	+	CP	0	@ChrisFinlay8 @HammondTheCoach @BBCPolitics I've shared my private taxi with over 15k people over 2 years. I wear a mask in my taxi at all times. Never had covid. I can't guarantee it's the mask that's helped but there's high probability it is. I'll stick with that.
274	Mon Nov 29 23:59:26 +0000 2021	1.46547e+18	+	CR	0	"@10DowningStreet Are lessons not learnt from recent experience of covid, the world needs to go on full lockdown isolating every country till new viruses have yielded . Then we continue as normal within each country.Viruses rapidly increase instantly, as shown via government covid hour"
289	Mon Nov 29 23:58:33 +0000 2021	1.46547e+18	+	CV	0	Grant aims to boost COVID-19 vaccination rate in Black communities https://t.co/t9LqaiJ5XK
291	Mon Nov 29 23:55:09 +0000 2021	1.46547e+18	+	CR	1	Japan to bar new foreign arrivals over Covid-19 Omicron variant: PM Kishida https://t.co/5kTo0MczcF
295	Mon Nov 29 23:55:08 +0000 2021	1.46547e+18	+	CY	0	"@ygkregular @Perry71103419 @debbykitty23 @KFLAPH @MOHKFLA @MayorPaterson Oh-there you are… 🤦🏼‍♀️ COVID-19 is not 99.8% ‘survivable’, and you know it. If there’s new information out there perhaps you would like to share &amp; provide a link??  Otherwise, same old ‘Facebook factoid’, eh?  Folks, Please do your research!  Have a good evening everyone! 👍🏼💉"
298	Mon Nov 29 23:58:51 +0000 2021	1.46547e+18	+	CV	49	Colorado's state health department @cdphe says 20.6% of Colorado 5 - 11 year-olds have received at least one dose of the COVID-19 vaccine. That's nearly 100k since vaccinations began for that group a few weeks ago.
304	Mon Nov 29 23:55:14 +0000 2021	1.46547e+18	+	CV	5	"3rd dose of Pfizer, let’s do this"
305	Mon Nov 29 23:59:06 +0000 2021	1.46547e+18	+	CR	0	@ArbyHyde @Count_Truculent Not so sure we gave up..just played horses for courses. The original plan was put in place for Covid-1..with Delta it needed to change. Cause and effect are tough taskmasters.
479	Mon Nov 29 23:59:33 +0000 2021	1.46547e+18	+	CV	2	"How are they planning to convince the anti-vaxers?  How many more who were anti-vax do we have to see die on video, crying that they were wrong?  All vaccinated adults should get a Covid-19 booster shot because of the Omicron variant, CDC says https://t.co/16xR1hcJFx"
240	Tue Nov 30 23:55:36 +0000 2021	1.46583e+18	+	CT	1	"@carbonsaveruk @jly1960 Prime Minister Scott Morrison has vowed Australia will not step backwards in the face of the Omicron variant of concern and will continue to reopen, move forward, and DIE with the virus.  Fixed.  https://t.co/IEPpAMWTi7"
241	Tue Nov 30 23:55:35 +0000 2021	1.46583e+18	+	CY	0	"LeBron Enters Health And Safety Protocols, Out Tonight Vs. Kings https://t.co/pxIU4jU9qk"
244	Tue Nov 30 23:59:32 +0000 2021	1.46583e+18	+	CV	2	"@richarddoomed Larry Davis is 100 years old, so even vaccinated, he’s at risk from Covid. Better safe than sorry"
253	Tue Nov 30 23:59:43 +0000 2021	1.46583e+18	+	CV	0	@Robinthebank4 Covid positivity for unvaccinated is the major focus although vaccinated are actually going in at a high rate.
261	Tue Nov 30 23:57:59 +0000 2021	1.46583e+18	+	CP	0	Don't go full retard with this covid thing 😏 https://t.co/CwTQ9mFyTD
278	Tue Nov 30 23:55:17 +0000 2021	1.46583e+18	+	PL	4	@macy197070 Thank you and please wear a mask while laughing.
286	Tue Nov 30 23:57:03 +0000 2021	1.46583e+18	+	CP	1	"Looking for answers to your #health questions? ❓ Gale Health &amp; Wellness Resource Center has access to authoritative health info, including COVID-19. Use your library card to browse free online #medical materials. https://t.co/dKkk8ci2pO #Gale #Health #PHX https://t.co/KE9doJlyDN"
288	Tue Nov 30 23:58:26 +0000 2021	1.46583e+18	+	CY	1	Happy Holidays to the one ☝️ who doesn’t believe there’s a #Jesus. Jesus Loves you just the same. Still find time for him. He’s behind every #Scene. We couldn’t survive COVID-19 if it wasn’t for JESUS. 🇯🇲🙏🏾🇺🇸✍🏽🕯🕊🕊🕊✍🏽 😷 🕊 #JESUSISMYPWOWPWOW 📖✍🏽
299	Tue Nov 30 23:55:06 +0000 2021	1.46583e+18	+	PL	0	"The COVID-19 Pandemic has not been nice to many people. This is a reminder to visit a therapist if Corona Virus has affected your financial situation, relationship, or general peace of mind."
314	Tue Nov 30 23:56:03 +0000 2021	1.46583e+18	+	CL	0	Post Edited: Governor says session to cut taxes of wealthy will begin Dec. 7; acknowledges surging COVID numbers https://t.co/EPLMAGPCQp https://t.co/diVSEoUdYq
345	Tue Nov 30 23:57:04 +0000 2021	1.46583e+18	+	CY	8	Join us today at 8pm ET for the APA Mental Health Equity Fireside Chat: The Impact of the COVID-19 Pandemic on the Mental Health of Indigenous Communities.  Learn more and register https://t.co/uRtWa9dgnU https://t.co/kpWwvjh2zO
348	Tue Nov 30 23:56:02 +0000 2021	1.46583e+18	+	CV	0	Mass. Gov. Baker on COVID-19 booster shots: 'We still have many appointments' - WCVB Boston https://t.co/7o81JuOzOP
351	Tue Nov 30 23:57:19 +0000 2021	1.46583e+18	+	PL	0	"⚡️ “UAE currently best place to live amid pandemic, says Bloomberg's Covid Resilience Ranking” by @Quicktake https://t.co/AX7dUV97hO"
367	Tue Nov 30 23:59:47 +0000 2021	1.46583e+18	+	CV	0	"@FreddyJ06566992 @Pierredollar @KathyConWom I’ve decided that before we can continue discussing masks, I’ll need to have you present your Vaccination Passport. I’ll accept it with 2 shots, no booster yet, but I’ll expect you to present evidence of your booster by Friday. That’s reasonable and plenty of time. Capiche?"
