	time	id	sentiment	topic	like	text
84	Sun Nov 28 23:59:23 +0000 2021	1465108088592207873	-	CY	0	Just get rid of covid and I'll feel a lot better https://t.co/czlF5BsJQK
85	Sun Nov 28 23:59:23 +0000 2021	1465108087862280192	/	CR	1	"@JennaEllisEsq This is not about the COVID travel ban. That hadn’t even happened on 2/1/20. This was about Trump’s immigration ban. But by all means, do what you do Jenna."
87	Sun Nov 28 23:59:22 +0000 2021	1465108086910291975	/	CR	233	We need a diverse team led by a person with public health expertise to manage a better US COVID response https://t.co/Kn4Ho8vQfZ
88	Sun Nov 28 23:59:22 +0000 2021	1465108085861720067	-	CS	1	"@wendylaird @rennaestubbs @GOP No matter what.....you can't avoid deads caused by covid if some people not are having a great resistans. There are a lot, who is vaccinated who dies with covid"
89	Sun Nov 28 23:59:22 +0000 2021	1465108085371031559	-	CR	0	@SenTedCruz ripped Australia for its harsh Covid lockouts.  When will you have a tirade about Isreal locking its borders?.
90	Sun Nov 28 23:59:22 +0000 2021	1465108082992685056	+	CT	5	@drtobbe @aginnt COVID has always had those potential symptoms. They aren't new with Omicron.
91	Sun Nov 28 23:59:21 +0000 2021	1465108082539778053	+	CV	1	Fully population in Cuba are being vaccinated with Booster VS covid-19. More than 90% efficasy!!  High protection!!! Dr Fauci has suggested It too!!
92	Sun Nov 28 23:59:21 +0000 2021	1465108082099425283	-	CY	1	@gabbyedh10 yeah same lmao don’t wanna get spoiled if tobey show up. Just hope covid doesn’t ruin this.
94	Sun Nov 28 23:59:21 +0000 2021	1465108080883085319	-	CV	0	"@mjesper6599 @EpiEllie @Meta If you think the average American understands virology/epidemiology/immunology/public health-you’re not paying attention. Low vaccination rates tell the story, and that’s just math-not condescension. We aren’t reaching people, and we can do better."
95	Sun Nov 28 23:59:21 +0000 2021	1465108080623030277	-	CL	0	@davebeachone @Mediaite @Acosta Biden said he would solve covid and he has failed as well.
96	Sun Nov 28 23:59:21 +0000 2021	1465108079050166273	-	CV	0	@nillumcm Yes - many. Living in magaland Missouri- some still say it’s a hoax &amp; low vaccination rates.
98	Sun Nov 28 23:59:19 +0000 2021	1465108072595140618	-	CS	6	@CameliaDewan I’m pretty sure they test for racism the same way we’ve been testing for Covid.
99	Sun Nov 28 23:59:19 +0000 2021	1465108072368508935	/	CR	0	New Covid variant: Will new measures against Omicron work? - BBC News https://t.co/sGPTLkD89P https://t.co/tMtV5gYSGD
101	Sun Nov 28 23:59:18 +0000 2021	1465108068631564290	/	CV	3	"@CDCgov Please remind me again what percentage of CDC, NIH, FDA, Moderna, Pfizer and J&amp;J employees and their children are vaccinated, especially those with natural immunity?"
103	Sun Nov 28 23:59:17 +0000 2021	1465108062222442500	/	CR	0	Covid: Travel and mask rules tightened over Omicron variant - BBC News https://t.co/N0iZOBwCYm https://t.co/ENU422lLR9
104	Sun Nov 28 23:59:16 +0000 2021	1465108057831129089	+	CY	0	The fact it was a concern in my household when I have covid that I might’ve accidentally gave it to Thomas Rhett and his family
105	Sun Nov 28 23:59:15 +0000 2021	1465108057466232843	-	CS	0	@CheriDiNovo Just got an email about covid case in my daughters HS.
106	Sun Nov 28 23:59:15 +0000 2021	1465108055981367297	-	CV	4	"@ZJustzed @real_GGoswami @JikkyKjj @razorback11111 Except, the other vaccines have been given over the past 50 years. The Covid ones have only been given for the past 10 months. Deaths reports for Covid vaccines per capita, far exceed those from other vaccines in every data base around the world."
108	Sun Nov 28 23:59:15 +0000 2021	1465108055511560195	/	CT	1	TORONTO (AP) — Canada confirms country’s first two cases of omicron COVID-19 variant among two people who had recently visited Nigeria.
110	Sun Nov 28 23:59:15 +0000 2021	1465108053766901763	/	CY	0	"With #Covid #studies, the quality of the evidence matters https://t.co/90MqiC385Q"
111	Sun Nov 28 23:59:14 +0000 2021	1465108050818351107	/	CP	0	@HeckofaLiberal @ScreetonC @WorkingDruid A 2019 study on influenza pandemic. Unlike  this 2020 one on COVID and Masks. Heck there are even counter points to be made but you'd have to read the article to find them | WHO Reference Number: WHO/2019-nCoV/IPC_Masks/2020.5 https://t.co/7NtjlEbwBW
112	Sun Nov 28 23:59:13 +0000 2021	1465108048783941636	-	CV	1	"But no, in Victoria @VictorianCHO and @DanielAndrewsMP are not giving up their “success” with “full vaccination” so we are sticking with calling two shots “fully vaxxed” and then will act surprised in six months that people didn’t get their third and we had a massive Omicron wave https://t.co/dahbHkRIkd"
113	Sun Nov 28 23:59:13 +0000 2021	1465108048091836419	+	CV	0	"The way things are going, vaccination will be a weekly event! #Omicron"
